epoch,train_loss,train_acc,val_loss,val_acc
1,2.1717134575274857,0.1998,1.8247660934925078,0.3064
2,1.7679250419817187,0.33382222222222224,1.5675863325595856,0.4222
3,1.5520541728897528,0.43035555555555555,1.3779639154672623,0.479
4,1.3590943244370548,0.5087333333333334,1.1365214228630065,0.5774
5,1.1943177480927922,0.5692,1.069136279076338,0.6188
6,1.0827231998132034,0.6164444444444445,0.8826744094491005,0.6774
7,0.9784734689376571,0.6552,0.7739512629806995,0.7164
8,0.8922274080528454,0.6899333333333333,0.9115262627601624,0.684
9,0.8164704994891178,0.7220222222222222,0.830427223443985,0.73
10,0.7648802445354786,0.7370888888888889,0.6089788239449263,0.7842
11,0.7267669878730719,0.7529555555555556,0.7662032473832369,0.736
12,0.6906024734912948,0.7679333333333334,0.5439029552973806,0.812
13,0.6796233945272185,0.7727777777777778,0.6004509204998613,0.789
14,0.6516849640756845,0.7776444444444445,0.5863458143547178,0.7976
15,0.6299607492983341,0.7878888888888889,0.6206820793449879,0.7914
16,0.6180317938666452,0.7915333333333333,0.5103750521317124,0.8132
17,0.6088978102092039,0.7951777777777778,0.5100556973367929,0.818
18,0.5928373131054369,0.7995333333333333,0.5450825400650501,0.8118
19,0.5910357783802531,0.7996,0.7210750741884112,0.77
20,0.5818391178141941,0.8050888888888889,0.466875861492008,0.8372
21,0.5679666243324225,0.8082,0.5129945171065629,0.8238
22,0.5655130639841611,0.8098444444444445,0.5396949175745249,0.8132
23,0.5520382115448063,0.8143777777777778,0.4229948482941836,0.8472
24,0.5562172500755299,0.8132666666666667,0.46165825817734,0.836
25,0.5442060240629044,0.8168888888888889,0.5318597822450102,0.8138
26,0.5424859178337184,0.8157333333333333,0.4737358011305332,0.8376
27,0.5411574999717149,0.8166888888888889,0.4798747499473393,0.8302
28,0.537014294246381,0.8182888888888888,0.5598314959555865,0.815
29,0.5214619116688316,0.8232,0.5581458874046803,0.803
30,0.5211929341947491,0.8247777777777778,0.4478068442083895,0.847
31,0.5208305520936847,0.8257333333333333,0.4532267048954964,0.8428
32,0.5107842428948391,0.8279777777777778,0.4404640018939972,0.8412
33,0.5109163902869279,0.8277555555555556,0.44675796761875974,0.8432
34,0.5087972589853135,0.8282444444444444,0.407983226981014,0.8562
35,0.4971674575724385,0.8325777777777777,0.41148770190775397,0.851
36,0.4963173925537955,0.8306222222222223,0.5030842080712319,0.8304
37,0.49533633582971315,0.8335555555555556,0.42275434024631975,0.8538
38,0.49947791250253265,0.8322888888888889,0.45013000587932767,0.8488
39,0.48830647504126484,0.8356444444444444,0.40551688335835934,0.8608
40,0.4876467348499732,0.8364444444444444,0.37761865123175087,0.868
41,0.4858006669039076,0.836,0.41893705669790504,0.8594
42,0.48539034789428115,0.8359333333333333,0.3999060209840536,0.8534
43,0.4752974671057679,0.8410444444444445,0.36268606935627756,0.8698
44,0.47432697665962303,0.8414222222222222,0.4416331911459565,0.8496
45,0.47706800284372136,0.84,0.5130509620532393,0.8334
46,0.4750939993695779,0.8429111111111112,0.37707575922831893,0.8656
47,0.46945843202146614,0.8413555555555555,0.42881363462656735,0.8494
48,0.4618944115936756,0.8434888888888888,0.391187749709934,0.8658
49,0.47091492621058767,0.8418,0.3756887041963637,0.8676
50,0.46296996174549515,0.8439111111111111,0.44543910175561907,0.845
51,0.4614245197312398,0.8446,0.3360579597763717,0.879
52,0.46426777287640353,0.8449555555555556,0.427944665402174,0.8478
53,0.4584214616228234,0.8466222222222223,0.4117790093179792,0.8554
54,0.45247669848190114,0.8473555555555555,0.38758080787956717,0.8654
55,0.4501297989944843,0.8482,0.4436113964766264,0.8448
56,0.44821355855939066,0.8498444444444444,0.40178579092025757,0.8552
57,0.44580787551504647,0.8507555555555556,0.40588472271338105,0.8586
58,0.44886450799690053,0.8509555555555556,0.3906112462282181,0.8636
59,0.4459683768112551,0.8502888888888889,0.4044565174728632,0.8598
60,0.4371164460581812,0.8530222222222222,0.3630321901524439,0.8768
61,0.43099669892002235,0.8565555555555555,0.2972474055364728,0.8944
62,0.43766755128109996,0.8528222222222223,0.3752293188124895,0.8682
63,0.43280801054259593,0.8562444444444445,0.3439265207387507,0.8776
64,0.42808340523730626,0.8564444444444445,0.397499658446759,0.8574
65,0.4239266101609577,0.8579333333333333,0.37703296784311535,0.8684
66,0.4251202929087661,0.8566222222222222,0.42637719549238684,0.8622
67,0.42236882503229106,0.8584888888888889,0.3877461407333612,0.8682
68,0.42109334434975276,0.8587333333333333,0.42815415412187574,0.8588
69,0.4176153722219169,0.8608444444444444,0.3550108236260712,0.8796
70,0.4116766011681069,0.8624666666666667,0.342681106319651,0.8852
71,0.40943608373742213,0.8635777777777778,0.3549263933324255,0.8748
72,0.4127775611017238,0.8613555555555555,0.43388272346928713,0.8554
73,0.4031159777448259,0.8632666666666666,0.3491731218062341,0.8806
74,0.4034958259117874,0.8642,0.3748587105888873,0.8706
75,0.40144716029648075,0.8651555555555556,0.3486901750788093,0.8796
76,0.39795388251712377,0.8667777777777778,0.46311386972665786,0.8454
77,0.4010045797648755,0.8649333333333333,0.32903594337403774,0.8838
78,0.3985519053160467,0.8643777777777778,0.34148941980674863,0.883
79,0.39373798012225464,0.8682666666666666,0.3131945999339223,0.8904
80,0.38852573423223064,0.8690888888888889,0.3337377041578293,0.8818
81,0.3896318663927642,0.8686888888888888,0.3482232585083693,0.8794
82,0.38377464592287486,0.8729777777777777,0.39838677938096223,0.8592
83,0.3808675301261246,0.8730666666666667,0.38799263392575084,0.8666
84,0.37505112029612064,0.8736888888888888,0.3217062328476459,0.8882
85,0.3762152539989488,0.8752666666666666,0.3464466079138219,0.8806
86,0.3729391342706301,0.8747333333333334,0.2820368811953813,0.9012
87,0.37140354116193275,0.8763555555555556,0.31478695962578057,0.8882
88,0.3775532146577131,0.8737333333333334,0.3457787463441491,0.8782
89,0.3615046082995832,0.8777111111111111,0.3533542472869158,0.8788
90,0.36363975242288277,0.8782666666666666,0.3537594156805426,0.8772
91,0.3615151511251249,0.8791333333333333,0.3234785271808505,0.8846
92,0.354180892590772,0.8816444444444445,0.32172417333349584,0.8858
93,0.35107288987968455,0.8827333333333334,0.2961184449726716,0.8958
94,0.3509179077280516,0.8821333333333333,0.2810313800349832,0.8994
95,0.346939234952019,0.8846,0.3310499387793243,0.8862
96,0.34444200653921475,0.8853111111111112,0.31778343580663204,0.8952
97,0.3417748261497102,0.8856888888888889,0.3233542647212744,0.8862
98,0.34054037429053674,0.8869555555555556,0.2843935593031347,0.8978
99,0.3411950636655092,0.8859111111111111,0.2678265299764462,0.9062
100,0.3346782047301531,0.8873777777777778,0.31774931978434323,0.8886
101,0.3307049125432968,0.8880222222222223,0.3011502100504003,0.8956
102,0.3221125134944238,0.8929333333333334,0.2979711204650812,0.8988
103,0.3254023331471465,0.8899555555555556,0.2863010701694293,0.9004
104,0.3148357189175757,0.8948888888888888,0.30335755380801854,0.8946
105,0.32149912548166787,0.8929555555555555,0.3736143746413291,0.8794
106,0.313045495570722,0.8964888888888889,0.28710862995358183,0.9036
107,0.30534890239042317,0.8970888888888889,0.3087467089295387,0.892
108,0.3072713839990849,0.8960666666666667,0.3028964870609343,0.8948
109,0.300712452693419,0.8992444444444444,0.2786149672814645,0.9024
110,0.3018394640900872,0.8978222222222222,0.2515315336175263,0.9122
111,0.2994556946849281,0.8987777777777778,0.2732060914626345,0.9044
112,0.2957500677809797,0.9006,0.28966305375797674,0.9038
113,0.29574161217632616,0.9017555555555555,0.29109375583939257,0.9
114,0.2898900635879148,0.9024222222222222,0.2825216884491965,0.9
115,0.28640124265273864,0.9035555555555556,0.2539106595155317,0.9082
116,0.2843083112754605,0.9045333333333333,0.2796726565225981,0.9064
117,0.2772628065113994,0.9079777777777778,0.26218032848555595,0.9122
118,0.2710463539062237,0.9082,0.27618794369045646,0.9008
119,0.2738287985663522,0.9074222222222222,0.29971199881983923,0.894
120,0.26181949649683456,0.9117777777777778,0.2506898314924911,0.9096
121,0.2656961932609027,0.9097111111111111,0.2401001650840044,0.9172
122,0.2592139832082797,0.914,0.2928307006135583,0.9032
123,0.2573581746017391,0.9139111111111111,0.260578450281173,0.9048
124,0.25512060652148316,0.9134222222222222,0.27295691180042925,0.9064
